f2,f1,,,,,,,,,,,
22khz,10mHz,,,,,,,,,,,
,,,,,,,,,,,,
Av,Hz,,,,,,,,,,,
9.9,10000,,,,,,,,,,,
9.7,15000,,,,,,,,,,,
9,18000,,,,,,,,,,,
8.5,19000,,,,,,,,,,,
7.5,20000,,,,,,,,,,,
7,22000,,,,,,,,,,,
6.5,24000,,,,,,,,,,,
6,26000,,,,,,,,,,,
5,28000,,,,,,,,,,,
4.5,30000,,,,,,,,,,,
4.25,34000,,,,,,,,,,,
3.7,36000,,,,,,,,,,,
3.3,40000,,,,,,,,,,,
3.2,42000,,,,,,,,,,,
3,50000,,,,,,,,,,,
2.75,60000,,,,,,,,,,,
wwwww,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,w1
