V,V_R,V_D,I_D
0.1,0,0.144,-0.00044
0.2,0,0.291,-0.00091
0.3,0,0.322,-0.00022
0.4,0,0.477,-0.00077
0.5,0,0.608,-0.00108
0.6,0,0.634,-0.00034
0.7,0.001,0.769,-0.000690000000000001
0.8,0.002,0.908,-0.00108
0.9,0.029,0.983,-0.000829999999999999
1,0.035,1.009,-9.00E-05
1.2,0.123,1.117,0.000830000000000001
1.4,0.264,1.193,0.00207
1.6,0.372,1.226,0.00374
1.8,0.592,1.271,0.00529
2,0.685,1.292,0.00708
2.2,0.827,1.306,0.00894
2.4,0.984,1.328,0.01072
2.6,1.139,1.347,0.01253
2.8,1.315,1.367,0.01433
3,1.46,1.384,0.01616
3.5,1.855,1.422,0.02078
4,2.39,1.445,0.02555
