R_L,V_L (V),I_L (mA),V_L para 1kohm,Potencia
0.1,0.32,2.86,2.86,0.92
0.2,0.59,2.72,2.72,1.61
0.3,0.83,2.58,2.58,2.14
0.4,1.02,2.41,2.41,2.46
0.5,1.14,2.32,2.32,2.63
0.6,1.36,2.19,2.19,2.99
0.7,1.5,2.07,2.07,3.1
0.8,1.61,2.02,2.02,3.27
0.9,1.71,1.91,1.91,3.26
1,1.91,1.84,1.84,3.51
1.5,2.34,1.54,1.54,3.6
2,2.65,1.36,1.36,3.61
2.5,2.89,1.14,1.14,3.29
3,3.05,1.06,1.06,3.22
3.5,3.27,0.97,0.97,3.17
4,3.36,0.84,0.84,2.83
4.5,3.45,0.81,0.81,2.81
5,3.56,0.72,0.72,2.57
6,3.68,0.63,0.63,2.33
7,3.86,0.53,0.53,2.06
8,3.95,0.49,0.49,1.94
9,4.01,0.42,0.42,1.68
10,4.05,0.37,0.37,1.51
